timestamp,ph,turb,temp,gas,result,confidence,turbDev,phDev,gasDev,errors
2026-05-17T15:56:53.104Z,6.98,246,,23.4,⚠️  Adulterated — Water Dilution,Medium,6,0.68,6.4,TEMP_SENSOR_FAULT — check pin 4 + 4.7kΩ pull-up
2026-05-17T15:56:53.106Z,6.96,247,,23.6,⚠️  Adulterated — Water Dilution,Medium,6.5,0.66,6.3,TEMP_SENSOR_FAULT — check pin 4 + 4.7kΩ pull-up
2026-05-17T15:56:57.569Z,6.93,250.3,,23.9,⚠️  Adulterated — Water Dilution,Medium,7.9,0.63,6.1,TEMP_SENSOR_FAULT — check pin 4 + 4.7kΩ pull-up
2026-05-17T15:56:58.135Z,6.9,252,,24,⚠️  Adulterated — Water Dilution,Medium,8.6,0.6,6,TEMP_SENSOR_FAULT — check pin 4 + 4.7kΩ pull-up
2026-05-17T15:56:59.633Z,6.89,253.4,29.94,24,⚠️  Adulterated — Water Dilution,Medium,9.2,0.59,6,none
2026-05-17T15:57:00.633Z,6.86,256,29.97,24.2,⚠️  Adulterated — Water Dilution,Medium,10.3,0.56,6,none
2026-05-17T15:57:01.635Z,6.83,258.2,29.98,24.3,⚠️  Adulterated — Water Dilution,Medium,11.3,0.53,5.9,none
2026-05-17T15:57:02.637Z,6.82,258.8,29.97,24.4,⚠️  Adulterated — Water Dilution,Medium,11.6,0.52,5.8,none
2026-05-17T15:57:03.142Z,6.82,259.8,,24.4,⚠️  Adulterated — Water Dilution,Medium,12,0.52,5.8,TEMP_SENSOR_FAULT — check pin 4 + 4.7kΩ pull-up
2026-05-17T15:57:04.144Z,6.81,260.6,,24.5,⚠️  Adulterated — Water Dilution,Medium,12.3,0.51,5.8,TEMP_SENSOR_FAULT — check pin 4 + 4.7kΩ pull-up
2026-05-17T15:57:05.145Z,6.8,261.6,,24.6,⚠️  Adulterated — Water Dilution,Medium,12.8,0.5,5.7,TEMP_SENSOR_FAULT — check pin 4 + 4.7kΩ pull-up
2026-05-17T15:57:06.147Z,6.79,262.8,,24.7,⚠️  Adulterated — Water Dilution,Medium,13.3,0.49,5.6,TEMP_SENSOR_FAULT — check pin 4 + 4.7kΩ pull-up
2026-05-17T15:57:07.149Z,6.78,264,,24.8,⚠️  Adulterated — Water Dilution,Medium,13.8,0.48,5.6,TEMP_SENSOR_FAULT — check pin 4 + 4.7kΩ pull-up
2026-05-17T15:57:08.150Z,6.77,265,,24.8,⚠️  Adulterated — Water Dilution,Medium,14.2,0.47,5.6,TEMP_SENSOR_FAULT — check pin 4 + 4.7kΩ pull-up
2026-05-17T15:57:09.152Z,6.76,266,,24.9,⚠️  Adulterated — Water Dilution,Medium,14.7,0.46,5.5,TEMP_SENSOR_FAULT — check pin 4 + 4.7kΩ pull-up
