timestamp,ph,turb,temp,gas
2026-05-17T16:24:50.341Z,933,618,29,443.8
2026-05-17T16:24:51.342Z,933,618,29,443.8
2026-05-17T16:24:52.344Z,933,618,29,443.8
2026-05-17T16:24:53.345Z,933.6,618.2,29,444
2026-05-17T16:24:54.347Z,933.6,618.4,29,444
2026-05-17T16:24:55.349Z,933.4,618.6,29,444
2026-05-17T16:24:56.350Z,933.4,618.8,29,444
2026-05-17T16:24:57.352Z,933.4,618.8,29,444
2026-05-17T16:24:58.353Z,933,618.8,29,444
2026-05-17T16:24:59.355Z,933.2,618.8,29,444
2026-05-17T16:25:00.356Z,933.4,618.8,29,444
2026-05-17T16:25:01.358Z,933.4,619,29,444
2026-05-17T16:25:02.359Z,933.4,619.2,29,444
2026-05-17T16:25:03.361Z,933.6,619.2,29,444
2026-05-17T16:25:04.363Z,933.6,619.2,29,444
2026-05-17T16:25:05.364Z,933.6,619.2,29,444
2026-05-17T16:25:06.366Z,933.8,619,29,444
2026-05-17T16:25:07.367Z,934.2,619,29,444
2026-05-17T16:25:08.369Z,934.2,619,29,444.2
2026-05-17T16:25:09.370Z,934.4,618.8,29,444.2
2026-05-17T16:25:10.372Z,934.6,618.6,29,444.4
2026-05-17T16:25:11.374Z,934.8,618.6,29,444.6
2026-05-17T16:25:12.375Z,934.8,618.6,29,444.8
2026-05-17T16:25:13.377Z,935,618.6,29,444.6
2026-05-17T16:25:14.378Z,935.2,618.8,29,444.8
2026-05-17T16:25:15.381Z,935.2,619.2,29,444.8
2026-05-17T16:25:16.382Z,935.2,619.4,29.012,444.8
2026-05-17T16:25:17.383Z,935.2,619.6,29.024,444.8
2026-05-17T16:25:18.384Z,935.2,619.6,29.036,445
2026-05-17T16:25:19.387Z,935,619.6,29.048,445
2026-05-17T16:25:20.388Z,935,619.4,29.048,445
2026-05-17T16:25:21.389Z,935.2,619.2,29.036,445
2026-05-17T16:25:22.392Z,935.2,619.2,29.036,445
2026-05-17T16:25:23.393Z,935.2,619.4,29.024,445
2026-05-17T16:25:24.394Z,935.4,619.6,29.012,445
2026-05-17T16:25:25.396Z,935.4,620,29.024,445
2026-05-17T16:25:26.397Z,935.2,620.4,29.024,445
2026-05-17T16:25:27.400Z,935.4,620.4,29.012,445
2026-05-17T16:25:28.401Z,935.6,620.4,29.024,445
2026-05-17T16:28:03.929Z,940.2,622.6,29.162,453
